GSM2755289	GSM3677931	GSM4063491	GSM3073477	GSM4636693	GSM4566748	GSM5076017	GSM4662160	GSM5351072	GSM2643177	GSM2098677	GSM3747610	GSM4117605	GSM4304996	GSM4726894	GSM5502539	GSM2550431	GSM3586977	GSM4697984	GSM5223859	GSM2752135	GSM4005142	GSM4558318	GSM4772962	GSM2770533	GSM4459855	GSM3177006	GSM1481729	GSM3790409	GSM5292122	GSM3416609	GSM2770585	GSM2422331	GSM3501810	GSM1838450	GSM4710529	GSM3165470	GSM1522362	GSM3223802	GSM2612486	GSM1276881	GSM3473354	GSM4915642	GSM3613726	GSM4056590	GSM5021393	GSM4425613	GSM4079246	GSM3938374	GSM2734890	GSM4386211	GSM4192133	GSM3191255	GSM3618250	GSM2686849	GSM3573987	GSM2544073	GSM2803239	GSM3941535	GSM2152261	GSM2781313	GSM2248151	GSM2425377	GSM1930411	GSM1157186	GSM5365663	GSM1423463	GSM1424431	GSM3976579	GSM4933552	GSM4107646	GSM2714564	GSM3073519	GSM3759241	GSM4759022	GSM2205866	GSM3723939	GSM4048218	GSM1435512	GSM2229993	GSM4915641	GSM2902784	GSM4391753	GSM2302047	GSM4735057	GSM2543859	GSM3573314	GSM1405095	GSM3943996	GSM4542585	GSM3629605	GSM4317546	GSM2443095	GSM3762494	GSM3791745	GSM2889039	GSM2755629	GSM2343415	GSM2628130	GSM2277342
0.022223500534892082	0	0.06410159915685654	0.11695700138807297	0.3021230101585388	0.11681899428367615	0	0	0	0	0.048630498349666595	5.2827301025390625	0	0.10768541693687439	0	0.012191000394523144	0.06098410114645958	0	0	66.33699798583984	0.1949869990348816	0	0.03457329794764519	0.0984342023730278	0.024574603885412216	0	0	0.1323699951171875	0	0.15349002182483673	0.035691600292921066	0.06418129801750183	1.824679970741272	0.04963719844818115	2.6827099323272705	0.037975698709487915	0.04875659942626953	0.044863101094961166	0	0	0	1.0520600080490112	0	0	0	3.0242202281951904	0.09396660327911377	0.014990201219916344	0.025182100012898445	0	0.17721301317214966	0.17336902022361755	1.9852700233459473	0	0	0.028643600642681122	0.08456719666719437	0	0.03634170442819595	2.019239902496338	0	141.60800170898438	0.029666099697351456	0	0.3699190020561218	0.4994179606437683	0	0.033988699316978455	0.026604600250720978	0	0.012071250006556511	0.22653399407863617	0	0.07852108776569366	0.188836008310318	719.948974609375	0.2644360065460205	0	1.7780400514602661	0.07585330307483673	0	0	0.034611597657203674	0	0.08662030845880508	0.17496800422668457	3.6716299057006836	0.02762399986386299	0.03466939926147461	0.12185989320278168	0.07157889008522034	0	0.020059999078512192	0	0	0.3981879949569702	0	0.2815079987049103	0.03165210038423538	0
0.05301250144839287	0	0	0	0	0.1499366369098425	0	0.9942739903926849	0	0	0	0.02479499951004982	0.06758945435285568	0	0.22800659574568272	18.779210329055786	0.7884912118315697	0	0.07450990378856659	0.2958819791674614	0.04416469857096672	0.07760470360517502	0.20471159368753433	0.6894930005073547	0.3607780337333679	0.050252899527549744	25.044029235839844	0.03704899922013283	0	0	0.04000059887766838	0.20290249586105347	0.29119300842285156	0.018497999757528305	0.12728899717330933	0.07254819944500923	0.05464470013976097	0	0	0.0652478002011776	0	0.22687990218400955	0	0	0	0.32783190719783306	0.16531600058078766	0.0728709027171135	19.409780263900757	0	0	0.8247320652008057	0.521602988243103	0	0.38988301157951355	0	0.28614020347595215	0.11492620408535004	0.042639803141355515	0.08653909713029861	0.1282798983156681	0.06755059957504272	0	0.15800189971923828	1.9307900071144104	1.270194947719574	0.2695780098438263	0.17938899993896484	17.718360245227814	0.14215148985385895	0.3039572611451149	0	0	0.06383869051933289	0.04713810235261917	0.7707969769835472	5.095072150230408	0.15654488280415535	0.19133169949054718	0	0	0	0	0.2208539992570877	0.021597500890493393	0	0	0.06958500295877457	0.06859710160642862	0	1.2891528010368347	0.011397297494113445	0	0	0.018506500869989395	0	0	0.2516860067844391	0	0.029846299439668655
0	0	0	0	0	0.009044959209859371	0	0.05992870032787323	0	0.03590800240635872	0	0	0	0	0	0	0	0	0	0	0.27763599157333374	0	0	0	0	0	0	0	0	0	0	0	0	4.410820007324219	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6303450465202332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2822671727044299	0.06074909865856171	0	0.0486269686371088	0	0	0	0.12181931966915727	0	0	0	0	0	0	0.26465997099876404	0	0	0	0	0	0	0.0120048513635993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.08774550259113312	0	0	0	0	0	0	0	0.11920399218797684	0	0	0	0	0	0	0	0.046025898307561874	0	0	0	0	0	0.016464700922369957	0	0	0.03402569890022278	0	0	0.11738000065088272	0.06728480011224747	0.10475300252437592	0	9.725433021783829	0	0.4673530161380768	0	0	0	0	0	0	0.35049401223659515	0	0	0	0	0	0.07256370782852173	0	0	4.009850025177002	0	0.1236116960644722	0	0	0	0	0	0.08798424154520035	0	0	0	0	0	0	0	0	0.04767259955406189	0	0	0	0	0.2730500102043152	0	0	0	0	0	0	0.10043198615312576	0	0	0	0	0	0	0	0	0.32212720066308975
0.21699200570583344	0	3.271470069885254	2.041840076446533	17.0104159116745	2.875372178852558	1.2592958807945251	6.4939539432525635	1.5505979657173157	1.0983104705810547	11.283390164375305	1.9766199588775635	5.580305337905884	3.9372741729021072	22.19366979598999	7.543370366096497	9.80951976776123	1.660746954381466	1.2472000122070312	1.9196698665618896	1.0814599990844727	2.811969041824341	12.159669399261475	4.730090141296387	2.8284592628479004	6.422696113586426	0.39942696690559387	1.754870057106018	24.70598042011261	4.710530757904053	2.752350091934204	3.6191481053829193	4.095369815826416	1.4098579064011574	6.233304142951965	9.066557079553604	6.853569984436035	8.687779903411865	0.23934799432754517	4.511600166559219	4.336481094360352	0.6912689805030823	3.4994897842407227	1.6015201807022095	0.6575873494148254	1.2759500741958618	64.85166358947754	27.246651649475098	0.10283300280570984	5.683300018310547	9.30104224383831	1.4011101722717285	1.2901550233364105	0.008832080289721489	2.031632900238037	1.3062701225280762	4.909617185592651	4.1773799657821655	2.932880163192749	3.0259199142456055	2.391733020544052	0.5536230206489563	2.4807599782943726	18.63955467939377	8.672790050506592	12.312799215316772	4.191660046577454	9.56201422214508	2.146399974822998	6.871387213468552	5.9299476146698	3.550110101699829	1.634719967842102	1.8030197620391846	23.51524066925049	3.9599048793315887	5.187012195587158	6.910009294748306	3.0675179958343506	1.5954400300979614	2.3374199867248535	0.0856349989771843	6.518589496612549	4.7565001249313354	1.6230451315641403	13.040789604187012	4.265491932630539	2.18257999420166	0.3160179853439331	1.4340877532958984	5.865957021713257	32.146363496780396	17.548779606819153	1.7675700187683105	0.5355669856071472	1.0805200338363647	0.10871800035238266	5.488233864307404	0	5.300119876861572
0	0	0	0	0	0.01622079871594906	0	0	0	0.06894750148057938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017960000783205032	0	0	0.10209000110626221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.023662200197577477	0	3.3426098823547363	1.4203399419784546	0.13198599219322205	4.823475867509842	0	0.2016409933567047	0.13773299753665924	1.3624600172042847	12.422840118408203	18.41436004638672	4.058500051498413	0.32820042967796326	5.495705772191286	3.145524024963379	1.0073000192642212	0.24481000006198883	1.44691002368927	0.6983789503574371	11.231070041656494	0.047955501824617386	5.89592969417572	6.423590183258057	0.10020901262760162	22.703500747680664	0.2284179925918579	13.321910500526428	0.0994035005569458	9.919880867004395	0.5265830159187317	0	0.7668349742889404	2.755879044532776	19.72321915626526	20.97925043106079	1.7353230118751526	3.0977100133895874	0	8.300794124603271	0.06982570141553879	0.5115839838981628	0	0.8090161085128784	2.6820514216064826	6.135660171508789	0.16077101230621338	6.065440654754639	0.07444679737091064	3.636199951171875	0.06171330437064171	1.3987896740436554	0.4449180066585541	0	0.12587949633598328	0	0.5752930045127869	2.6586999893188477	3.4385803937911987	5.218250036239624	0.1131339967250824	0.8561050295829773	0.21563099324703217	1.6842849254608154	2.7534399032592773	17.143178462982178	6.06168007850647	3.004783034324646	11.179669618606567	0.5064879506826401	5.859698534011841	1.1084409654140472	0.9655749797821045	1.6932398080825806	0.07041050493717194	0.3492790013551712	2.0007259845733643	1.699159860610962	22.396299362182617	0.012621100060641766	0	0.03395399823784828	1.6503698825836182	0.2782430052757263	0.031505901366472244	0.526544988155365	3.040850982069969	0.2316790074110031	0.02321629971265793	0.15326286852359772	1.4267278015613556	0	3.3073328733444214	0.058253999799489975	0	0.07034420222043991	0	2.403480052947998	0	0.4567820131778717
0	0	0	0	0	0	0	0.10492300242185593	0	0	0	0	0	0	0	0	0	0	0.17746500670909882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021962499246001244	0.1767120063304901	0	0	0	0	0	0	0	0	0	0.030751200392842293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11343000084161758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.027471374720335007	0.13735699653625488	0	0	0	0	0.14097799360752106	0	0	0	0	0.1236020028591156	0	0.212459996342659	0	0.0937458947300911	0	0.10111500322818756	0	0	0	0	0.3167399764060974	0.04877360165119171	0.2340010106563568	0	0.4704599976539612	0	0.18852800130844116	0.012003200128674507	0.040991198271512985	0.01833680085837841	0	0	0	0.06148599833250046	0	0	0.13970398902893066	0.09002891182899475	0	0.19606700539588928	0.04615560173988342	0.06559950858354568	0.036475300788879395	0	0	0.16039131581783295	0.6214839816093445	0	0	0.04218760132789612	0	0.19517500698566437	0	0.06822340190410614	0.03453660011291504	0.08875489979982376	0	0.22131800651550293	0.17806200683116913	0.04422759637236595	0.0780545026063919	0.09939739853143692	0.2542310059070587	0.046203747391700745	0.6882449984550476	0	0	0	0	0.46285998821258545	7.963399887084961	0.09910208731889725	0.028748199343681335	0	0.03036530129611492	0	0	0.07150869816541672	0.028218451887369156	0	0.036342598497867584	0.04033780097961426	0.016808299347758293	0	0.5626479387283325	0	0.08778589963912964	0	0	0.09603700041770935	0	0.040787000209093094	0	0.03936510160565376
